order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Welcome,Intro,welcome/intro,info-circle,/lessons/welcome/intro,""
01B,Welcome,What is SQLite?,welcome/what-is-sqlite,info-circle,/lessons/welcome/what-is-sqlite,""
02A,Running SQLite,Installing SQLite,running-sqlite/installing-sqlite,person-running,/lessons/running-sqlite/installing-sqlite,""
02B,Running SQLite,Getting Started,running-sqlite/getting-started,person-running,/lessons/running-sqlite/getting-started,""
03A,Basic SQL,SELECT,basic-sql/select,database,/lessons/basic-sql/select,""
03B,Basic SQL,INSERT,basic-sql/insert,database,/lessons/basic-sql/insert,""
03C,Basic SQL,Tables,basic-sql/tables,database,/lessons/basic-sql/tables,""
04A,Intermediate SQL,Relational Data,intermediate-sql/relational-data,table,/lessons/intermediate-sql/relational-data,""
04B,Intermediate SQL,Other Types of Joins,intermediate-sql/other-types-of-joins,table,/lessons/intermediate-sql/other-types-of-joins,""
04C,Intermediate SQL,Foreign Keys,intermediate-sql/foreign-keys,table,/lessons/intermediate-sql/foreign-keys,""
04D,Intermediate SQL,Aggregation,intermediate-sql/aggregation,table,/lessons/intermediate-sql/aggregation,""
04E,Intermediate SQL,Subqueries,intermediate-sql/subqueries,table,/lessons/intermediate-sql/subqueries,""
05A,Build a Project with Node.js and SQLite,The Example App,build-a-project-with-nodejs-and-sqlite/the-example-app,circle-nodes,/lessons/build-a-project-with-nodejs-and-sqlite/the-example-app,""
05B,Build a Project with Node.js and SQLite,sqlite3,build-a-project-with-nodejs-and-sqlite/sqlite3,circle-nodes,/lessons/build-a-project-with-nodejs-and-sqlite/sqlite3,""
05C,Build a Project with Node.js and SQLite,Project,build-a-project-with-nodejs-and-sqlite/project,circle-nodes,/lessons/build-a-project-with-nodejs-and-sqlite/project,""
05D,Build a Project with Node.js and SQLite,Alternatives to sqlite3,build-a-project-with-nodejs-and-sqlite/alternatives-to-sqlite3,circle-nodes,/lessons/build-a-project-with-nodejs-and-sqlite/alternatives-to-sqlite3,""
06A,What is Unique to SQLite,Flexible Typing,what-is-unique-to-sqlite/flexible-typing,fingerprint,/lessons/what-is-unique-to-sqlite/flexible-typing,""
06B,What is Unique to SQLite,Limits of SQLite,what-is-unique-to-sqlite/limits-of-sqlite,fingerprint,/lessons/what-is-unique-to-sqlite/limits-of-sqlite,""
06C,What is Unique to SQLite,Views,what-is-unique-to-sqlite/views,fingerprint,/lessons/what-is-unique-to-sqlite/views,""
07A,Performance and Search,EXPLAIN,performance-and-search/explain,gauge-high,/lessons/performance-and-search/explain,""
07B,Performance and Search,Indexes,performance-and-search/indexes,gauge-high,/lessons/performance-and-search/indexes,""
07C,Performance and Search,Full Text Search,performance-and-search/full-text-search,gauge-high,/lessons/performance-and-search/full-text-search,""
08A,JSON,SQLite Extensions,json/sqlite-extensions,file-code,/lessons/json/sqlite-extensions,""
08B,JSON,JSON,json/querying,file-code,/lessons/json/querying,""
08C,JSON,jsonb,json/jsonb,file-code,/lessons/json/jsonb,""
08D,JSON,More Advance Queries,json/more-advance-queries,file-code,/lessons/json/more-advance-queries,""
09A,Scaling SQLite,Backups,scaling-sqlite/backups,server,/lessons/scaling-sqlite/backups,""
09B,Scaling SQLite,Replication,scaling-sqlite/replication,server,/lessons/scaling-sqlite/replication,""
09C,Scaling SQLite,libSQL,scaling-sqlite/libsql,server,/lessons/scaling-sqlite/libsql,""
09D,Scaling SQLite,Local First,scaling-sqlite/local-first,server,/lessons/scaling-sqlite/local-first,""
10A,Conclusion,Recap,conclusion/recap,flag-checkered,/lessons/conclusion/recap,""
